can1_1|"{0: {'definition': 'used to say that it is possible for somebody/something to do something, or for something to happen', 'examples': ['I can run fast.', 'Can you call back tomorrow?', ""He couldn't answer the question."", 'The stadium can be emptied in four minutes.', ""I can't promise anything, but I'll do what I can."", 'Please let us know if you cannot attend the meeting.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'used to say that somebody knows how to do something', 'examples': ['She can speak Spanish.', 'Can he cook?', 'I could drive a car before I left school.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 2: {'definition': 'used with the verbs ‘feel’, ‘hear’, ‘see’, ‘smell’, ‘taste’', 'examples': ['She could feel a lump in her breast.', 'I can hear music.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 3: {'definition': 'used to show that somebody is allowed to do something', 'examples': ['You can take the car, if you want.', ""We can't wear jeans at work.""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 4: {'definition': 'used to ask permission to do something', 'examples': ['Can I read your newspaper?', 'Can I take you home?'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 5: {'definition': 'used to ask somebody to help you', 'examples': ['Can you help me with this box?', 'Can you feed the cat, please?'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 6: {'definition': 'used to make suggestions', 'examples': ['We can eat in a restaurant, if you like.', 'I can take the car if necessary.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 7: {'definition': 'used in the negative for saying that you are sure something is not true', 'examples': [""That can't be Mary—she's in New York."", ""He can't have slept through all that noise.""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 8: {'definition': 'used to express doubt or surprise', 'examples': ['What can they be doing?', 'Can he be serious?', 'Where can she have put it?'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 9: {'definition': 'used to say what somebody/something is often like', 'examples': ['He can be very tactless sometimes.', 'It can be quite cold here in winter.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 10: {'definition': 'used to say that somebody must do something, usually when you are angry', 'examples': ['You can shut up or get out!'], 'extra_examples': [], 'synonyms': [], 'labels': '(informal)', 'grammar': [], 'use': [], 'dis_g': []}}"|/kən/, strong form  /kæn/|/kən/, strong form  /kæn/|modal verb|a1
last1_4|"{0: {'definition': 'to continue for a particular period of time', 'examples': ['Each game lasts about an hour.', 'How long does the play last?', 'Nothing lasts forever.', ' last for something The meeting only lasted for a few minutes.', ' last until something The trial is expected to last until the end of the week.'], 'extra_examples': ['The flight seemed to last forever.', 'The war lasted for three years.', 'The effort began in November and lasted through February.', 'The storm could last quite a long time.', 'a bruise that was sure to last for days', 'The celebrations lasted well into the next week.'], 'synonyms': [], 'labels': [], 'grammar': '[intransitive]', 'use': '(not used in the progressive tenses)', 'dis_g': []}, 1: {'definition': 'to continue to exist or to function well', 'examples': [""This weather won't last."", 'Our product looks better and lasts longer.', ""He's making a big effort now, and I hope it lasts."", ' while something lasts It was fun while it lasted.', ' last somebody These shoes should last you till next year.'], 'extra_examples': [""The kids are all very enthusiastic, but it won't last—it never does."", ""The good weather couldn't last."", 'This type of happiness rarely lasts.', 'Happiness never lasts.', 'I always thought his popularity was unlikely to last.', 'Interest rates are at their lowest level for a decade. I suggest you enjoy it while it lasts.', 'Make the most of this feeling while it lasts.', 'This house was built to last.', 'Your car will last longer if you look after it.', 'Even when cut, the flowers last very well.', 'With care, the vines will last indefinitely.'], 'synonyms': [], 'labels': [], 'grammar': '[intransitive, transitive]', 'use': [], 'dis_g': []}, 2: {'definition': 'to survive something or manage to stay in the same situation, despite difficulties', 'examples': [""She won't last long in that job."", ' last out Can you last out until I can get help?', "" last something He was injured early on and didn't last the match."", "" last out something Doctors say that she probably won't last out the night (= she will probably die before the morning).""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[intransitive, transitive]', 'use': [], 'dis_g': []}, 3: {'definition': 'to be enough for somebody to use, especially for a particular period of time', 'examples': [' last out Will the coffee last out till next week?', ' last somebody We’ve got enough food to last us (for) three days.', ' last (+ adv./prep.) She hoped they had enough firewood to last through the night.', 'Get your free sample while supplies last!'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[intransitive, transitive]', 'use': [], 'dis_g': []}}"|/læst/|/lɑːst/|verb|a2
last2_1|{0: {'definition': 'a block of wood or metal in the shape of a foot, used in making and repairing shoes', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}|/læst/|/lɑːst/|noun|
lead1_1|"{0: {'definition': 'to go with or in front of a person or an animal to show the way or to make them go in the right direction', 'examples': [""If you lead, I'll follow."", ' lead somebody/something + adv./prep. He led us out into the grounds.', 'The receptionist led the way to the boardroom.', 'She led the horse back into the stable.', 'The robbers led police on a high-speed chase through the city.', ' (figurative) I tried to lead the discussion back to the main issue.'], 'extra_examples': ['‘Lead on!’ said Arnold.', 'Firefighters led the survivors to safety.', ""You lead the way and we'll follow."", 'Five people helping to lead a convoy of aid are feared dead.', 'Let me lead the way.', 'She led them along a dark corridor to a small room.'], 'synonyms': ['guide'], 'labels': '(figurative)', 'grammar': '[intransitive, transitive]', 'use': [], 'dis_g': []}, 1: {'definition': 'to connect one object or place to another', 'examples': [' lead from something to something steps leading from the kitchen to the cellar', ' lead from something Disconnect the pipe leading from the top of the water tank.', ' lead to something The wire led to a speaker.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[intransitive]', 'use': [], 'dis_g': []}, 2: {'definition': 'to go in a particular direction or to a particular place', 'examples': [' + adv./prep. A path led down the hill.', 'The road led away from the house directly to the lake.', 'Which door leads to the yard?', 'The corridor led into a spacious living room.', ' lead somebody + adv./prep. The track led us through a wood.'], 'extra_examples': ['a path leading from the village to the old church', 'An old track led back through the wood.', 'The glass doors lead out onto a rooftop garden.', 'The gardens lead directly onto a beach.', "" (figurative) Discussion of a client's tax affairs will lead naturally into consideration of investment options.""], 'synonyms': [], 'labels': [], 'grammar': '[intransitive, transitive]', 'use': [], 'dis_g': []}, 3: {'definition': 'to have something as a result', 'examples': ['The carbon tax will inevitably lead to an increase in energy bills.', 'the events that eventually led to war', ""The fire ant's painful sting can ultimately lead to death for some people."", 'Eating too much sugar can lead to health problems.', 'A reward was offered for information leading to an arrest.'], 'extra_examples': ['Business success does not automatically lead to financial success.', 'These measures in turn led to an increased opportunity for independent music production.', 'Worrying about your weight is more likely to lead to low self-esteem.', 'The use of soft drugs does not necessarily lead to a progression to hard drugs.', 'Such actions would most likely lead to the decline of rural communities.', 'Sugar and fat can easily lead to obesity.', 'Industrialization inevitably led to the expansion of the urban working class.'], 'synonyms': ['result in'], 'labels': [], 'grammar': '[intransitive]', 'use': [], 'dis_g': []}, 4: {'definition': 'to be the reason why somebody does or thinks something', 'examples': [' lead somebody (to something) What led you to this conclusion?', ""He's too easily led (= easily persuaded to do or think something)."", ' lead somebody to do something Circumstances eventually led her to train as a doctor.', 'The situation is far worse than we had been led to believe.'], 'extra_examples': ['Some children are easily led.', 'This has led scientists to speculate on the existence of other galaxies.', 'What we found leads us to suspect that more people may be involved.'], 'synonyms': [], 'labels': [], 'grammar': '[transitive]', 'use': [], 'dis_g': []}, 5: {'definition': 'to be in control of something; to be the leader of something', 'examples': ['to lead a team/group', 'to lead an expedition/a discussion', 'Inspector Sam Roland is leading the investigation. ', 'Who will lead the party in the next election?', 'The campaign for the ban was led by Greenpeace.', 'A good manager leads by example (= shows people how to behave by behaving in that way themselves).'], 'extra_examples': ['The project is run by a team of experts led by Andrew Hall.', 'He led the first expedition to the North Pole.', 'Detective Inspector Adrian Eakins, who is leading the hunt for the killer, has called a press conference.'], 'synonyms': [], 'labels': [], 'grammar': '[transitive, intransitive]', 'use': [], 'dis_g': []}, 6: {'definition': 'to be the best at something; to be in first place', 'examples': [' lead (somebody/something) (in something) The department led the world in cancer research.', 'We lead the way in space technology.', ' lead (somebody/something) by something The champion is leading (her nearest rival) by 18 seconds.'], 'extra_examples': [""The firm's solid construction standards still lead the field."", 'He led the race for eight laps until his engine blew.'], 'synonyms': [], 'labels': [], 'grammar': '[transitive, intransitive]', 'use': [], 'dis_g': []}, 7: {'definition': 'to have a particular type of life', 'examples': ['We lead a very quiet life.', 'to lead a life of luxury/a miserable existence', 'I tried to lead as normal a life as possible.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[transitive]', 'use': [], 'dis_g': []}, 8: {'definition': 'to cause a process to start', 'examples': ['The recent economic recovery was almost entirely led by exports.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[transitive]', 'use': [], 'dis_g': []}, 9: {'definition': 'to play first; to play something as your first card', 'examples': [""It's your turn to lead."", ' lead something to lead the ten of clubs'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[intransitive, transitive]', 'use': [], 'dis_g': []}}"|/liːd/|/liːd/|verb|a2
lead1_2|"{0: {'definition': 'the position ahead of everyone else in a race or competition', 'examples': ['She took the lead in the second lap.', 'to hold (onto)/regain the lead ', 'in the lead The Democrats now appear to be in the lead.', ' into the lead He has gone into the lead.', 'The lead car is now three minutes ahead of the rest of the field.'], 'extra_examples': ['That game puts her back into the lead.', 'They regained the lead with only a few minutes left to play.', 'We were struggling to stay in the lead.'], 'synonyms': [], 'labels': [], 'grammar': '[singular]', 'use': [], 'dis_g': []}, 1: {'definition': 'the amount or distance that somebody/something is in front of somebody/something else', 'examples': ['a commanding/comfortable lead ', 'to extend/stretch/double/increase your lead', ' lead of something Labour have taken a lead of five points in the polls. ', 'lead (of something) over somebody/something He managed to hold a lead of two seconds over his closest rival.', 'An own goal from United gave Chelsea an early two-goal lead in the 11th minute. '], 'extra_examples': ['The polls have given Labour a five-point lead.', 'Manchester lost their early two-goal lead.', 'They took an early lead.', 'They took a 3–0 lead in the first leg of the semi-final.', 'The yacht quickly established a one-mile lead over the nearest rival.', 'This win gives the team a two-point lead over their closest rival.', 'He had opened up a small lead over his opponent.', 'The team has now built up a commanding lead.', 'She has a narrow lead over the other runners.', 'For the time being, China has a solid lead over India.', 'Houston increased their lead to 13–7', 'Sheffield increased their lead just before half time.', 'He gradually extended his lead in the second half of the race to win by 49 seconds.'], 'synonyms': ['advantage'], 'labels': [], 'grammar': '[singular]', 'use': [], 'dis_g': []}, 2: {'definition': 'an example or action for people to copy', 'examples': ['If one bank raises interest rates, all the others will follow their lead.', 'If we take the lead in this (= start to act), others may follow.', ""You go first, I'll take my lead from you.""], 'extra_examples': ['Sixth- formers are seen to give the lead to younger students.', 'Intellectuals took the lead in criticism of the government.', 'The country is yearning for a firm moral lead.', 'The report did not provide a clear lead for the improvement of training.', 'The government should give a lead in tackling racism.', 'We should follow their lead in banning chemical weapons.', 'corporations that have chosen to take the lead on the privacy issue'], 'synonyms': [], 'labels': [], 'grammar': '[singular]', 'use': [], 'dis_g': []}, 3: {'definition': 'a piece of information that may help to find out the truth or facts about a situation, especially a crime', 'examples': ['The police will follow up all possible leads.'], 'extra_examples': [""leads on the murderer's identity"", 'They have several solid leads in their investigation.', 'The police are following every possible lead.', 'Some promising leads are already emerging.', 'It turned out to be a false lead.', 'He said that he has a lead as to where Dylan may be.', 'Did you find any leads when you searched it?'], 'synonyms': ['clue'], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 4: {'definition': 'a person or thing that may be useful to you, especially a possible new customer or business opportunity', 'examples': ['The marketing campaign generated hundreds of new leads.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 5: {'definition': 'the main part in a play, film, etc.; the person who plays this part', 'examples': ['Who is playing the lead?', 'the male/female lead', 'Both Christine and Fiona want the lead role.', 'I always dreamed of becoming the lead singer in a band.', 'He played lead guitar on a number of tracks.', ""the band's lead guitarist""], 'extra_examples': ['Who is playing the lead?', 'She sings lead on four tracks.', 'Her big break came when she was chosen to play the lead in a Broadway musical.'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 6: {'definition': 'the person in charge of a project, department, etc.', 'examples': ['Sam is the lead on this project.', 'Dr Mary Steadman, clinical lead in Accident and Emergency at the Royal Berkshire Hospital', 'Sarah Montague will become the lead presenter of the show from next month. '], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 7: {'definition': 'the first sentence or paragraph of a news story, giving the most important points of the story', 'examples': [""Check out this lead from Monday's front page story:…""], 'extra_examples': [], 'synonyms': [], 'labels': '(US English)', 'grammar': '[countable]', 'use': [], 'dis_g': []}, 8: {'definition': 'a long piece of leather, chain or rope used for holding and controlling a dog', 'examples': [' on a lead Dogs must be kept on a lead in the park.'], 'extra_examples': ['Let the dog off the lead.', 'We have to keep him on a tight lead when there are other dogs around.', 'Give your dog a period of exercise off the lead.'], 'synonyms': [], 'labels': '(British English)', 'grammar': '[countable]', 'use': [], 'dis_g': []}, 9: {'definition': 'a long piece of wire, usually covered in plastic, that is used to connect a piece of electrical equipment to a source of electricity', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': '(British English)', 'grammar': '[countable]', 'use': [], 'dis_g': []}}"|/liːd/|/liːd/|noun|b1
lead2_1|{0: {'definition': 'a chemical element. Lead is a heavy, soft grey metal, used especially in the past for water pipes or to cover roofs.', 'examples': ['Lead exposure can be harmful to everyone, especially young children and babies.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[uncountable]', 'use': [], 'dis_g': []}, 1: {'definition': 'the thin black part of a pencil that marks paper', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable, uncountable]', 'use': [], 'dis_g': []}}|/led/|/led/|noun|
live1_1|"{0: {'definition': 'to have your home in a particular place', 'examples': ['to live in a house/a flat/an apartment ', 'We used to live in London.', 'people living in rural areas', 'We live in a world where technological advance is the norm.', 'Where do you live?', 'She needs to find somewhere to live.', ""It's a great place to live."", 'Both her children still live at home.', 'He lived and worked there until his death in 2015.', ' (informal) Where do these plates live (= where are they usually kept)?'], 'extra_examples': ['I live in an old farmhouse.', 'He lives in Cape Town.', ""I'm not going to live here permanently."", 'The couple have lived apart for two years.', 'She lives quite near here.', ""She's lived at this same address for four years."", 'They lived among the people of this remote island.', 'We went to live in Canada when I was three.', 'You can live there quite cheaply.', 'They live in a society that is among the most liberal in Western Europe.', 'Her family has lived in the community since 1962.'], 'synonyms': [], 'labels': '(informal)', 'grammar': '[intransitive]', 'use': [], 'dis_g': []}, 1: {'definition': 'to remain alive', 'examples': ['The doctors said he only had six months to live.', 'Spiders can live for several days without food.', 'Women live longer than men in general.', ""Who wants to live forever? I don't."", ' live to do something She lived to see her first grandchild.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[intransitive]', 'use': [], 'dis_g': []}, 2: {'definition': 'to be alive, especially at a particular time', 'examples': ['When did Handel live?', 'Luther lived at a time when the Bible was only available in Latin.', ""He's the greatest player who ever lived.""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[intransitive]', 'use': [], 'dis_g': []}, 3: {'definition': 'to spend your life in a particular way', 'examples': [' live + adv./prep. He lived in poverty most of his life.', 'to live in fear/peace/harmony', 'Most of the people live well, with nice houses and plenty to eat.', ' live something She lived a very peaceful life.', 'They lived their lives to the full.', ' live + noun She lived and died a single woman.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[intransitive, transitive]', 'use': [], 'dis_g': []}, 4: {'definition': 'to continue to exist or be remembered', 'examples': ['This moment will live in our memory for many years to come.', 'Her words have lived with me all my life.'], 'extra_examples': [], 'synonyms': ['remain'], 'labels': [], 'grammar': '[intransitive]', 'use': [], 'dis_g': []}, 5: {'definition': 'to have a full and exciting life', 'examples': [""I don't want to be stuck in an office all my life—I want to live!""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[intransitive]', 'use': [], 'dis_g': []}}"|/lɪv/|/lɪv/|verb|a1
live2_1|"{0: {'definition': 'living; not dead', 'examples': ['live animals', 'the number of live births (= babies born alive)', 'We saw a real live rattlesnake!', 'I need to talk to a live person (= not a recording or computer).'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'sent out while the event is actually happening, not recorded first and broadcast later', 'examples': ['a live broadcast', 'live coverage of the World Cup', ""You're looking at live pictures from a Las Vegas courtroom."", 'a live report from our correspondent in Jerusalem', 'on live television/TV', 'a live video feed', 'Is the show live or recorded?'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': '(of a broadcast)'}, 2: {'definition': 'given or made when people are watching, not recorded', 'examples': ['The club has live music most nights.', 'the magic of a live performance', ""They're still one of the best live bands (= best at performing) around."", ""It was the first interview I'd done in front of a live audience (= with people watching).""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': '(of a performance)'}, 3: {'definition': 'made at a live performance, not in a recording studio', 'examples': ['a live recording made at Wembley Arena', 'the band’s new live album '], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': '(of a recording)'}, 4: {'definition': 'connected to a source of electrical power', 'examples': ['That terminal is live.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': '(of a wire or device)'}, 5: {'definition': 'still able to explode or light; ready for use', 'examples': ['live ammunition'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 6: {'definition': 'live coals are burning or are still hot and red', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 7: {'definition': 'live yogurt still contains the bacteria needed to turn milk into yogurt', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 8: {'definition': 'of interest or importance at the present time', 'examples': ['Pollution is still very much a live issue.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 9: {'definition': 'functioning correctly, so that it is connected to another document or page on the internet', 'examples': ['Here are some live links to other aviation-related web pages.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': '(of an electronic link)'}}"|/laɪv/|/laɪv/|adjective|b1
live2_2|"{0: {'definition': 'broadcast at the time of an actual event; played or recorded at an actual performance', 'examples': ['The show is going out live.', ""We'll be reporting live from Beijing."", 'Three great local bands will be playing live.'], 'extra_examples': ['I can watch the games live on TV.', ""Later we'll talk live with the former New York police commissioner."", 'The game will be televised live this evening.', 'The show will air live on June 10.', 'The trial was carried live on a Chicago radio station.', 'This concert comes to you live from Carnegie Hall.', 'The CD was recorded live at a concert given last year.', 'The band have never played this song live before.', 'The show was filmed live at the Arena.'], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}"|/laɪv/|/laɪv/|adverb|b1
minute1_1|"{0: {'definition': 'each of the 60 parts of an hour, that are equal to 60 seconds', 'examples': ["" minutes to… It's four minutes to six."", ' minutes past… four minutes past two', ' minutes after/before… five minutes after/before midnight', "" in… minutes I'll be back in a few minutes."", ' for… minutes Boil the rice for 20 minutes.', ' within minutes The ship sank within minutes.', ' per minute The pump delivers seven gallons per minute.', ""It's only a ten-minute bus ride into town."", 'Two minutes later the phone rang.', 'I enjoyed every minute of the party.', 'The students took fifteen minutes to complete the questionnaire.', 'Just minutes into the second half of the game Robinson scored his second goal.', 'Eguchi scored two goals in the 87th minute.'], 'extra_examples': ['It takes only a few minutes to grill this fish.', 'He listened for a couple of minutes, then smiled.', 'There were two goals in the opening five minutes of the game.', 'After twenty minutes I started to get worried.', 'Fifteen minutes turned into thirty, and still no one called.', ""For ten agonizing minutes she couldn't find her son."", 'Gina wasted ten precious minutes on her final test question.', 'He scored in the final minutes of the game.', 'I spent ten minutes dealing with emails.', 'If you have a few spare minutes, you could clean the kitchen.', 'Ten long minutes later, he finally had the results.', 'The film starts in ten minutes.', 'The minutes ticked by and still nothing happened.', 'The noise lasted almost a full minute.', 'Tracey was already counting the minutes until the weekend.', 'We waited for ten minutes and then left.', 'With each passing minute, the tension mounts.', 'the minute hand on the clock'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 1: {'definition': 'a very short time', 'examples': ['It only takes a minute to make a salad.', 'Could you wait a minute, please?', ""Hang on a minute—I'll just get my coat."", ""I just have to finish this—I won't be a minute."", ' for a minute Could I see you for a minute?', "" in a minute I'll be with you in a minute, Jo."", ""Typical English weather—one minute it's raining and the next minute the sun is shining."", 'My brain was still working a mile a minute (= very fast).'], 'extra_examples': ['Can you spare a minute?', 'Do you have a minute, Miss Brown?', 'This will only take a minute.', 'One minute he was fine and the next minute he collapsed on the floor.'], 'synonyms': [], 'labels': '(informal)', 'grammar': '[singular]', 'use': [], 'dis_g': []}, 2: {'definition': 'an exact moment in time', 'examples': [' at that/the minute At that very minute, Tom walked in.', ""I've got things on my mind at the minute.""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[singular]', 'use': [], 'dis_g': []}, 3: {'definition': 'each of the 60 equal parts of a degree, used in measuring angles', 'examples': ['37 degrees 30 minutes (37° 30′)'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 4: {'definition': 'a summary or record of what is said or decided at a formal meeting', 'examples': ['We read through the minutes of the last meeting.', 'Who is going to take the minutes (= write them)?', 'I wrote up the minutes of the meeting and circulated them by email.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[plural]', 'use': [], 'dis_g': []}, 5: {'definition': 'a short note on a subject, especially one that recommends a course of action', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}}"|/ˈmɪnɪt/|/ˈmɪnɪt/|noun|a1
minute1_2|"{0: {'definition': 'to write down something that is said at a meeting in the official record (= the minutes)', 'examples': ["" be minuted I'd like that last remark to be minuted."", 'Meetings must be minuted and the minutes approved at the following meeting.', ' it is minuted that… I would like it to be minuted that I do not support this proposal.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}"|/ˈmɪnɪt/|/ˈmɪnɪt/|verb|
minute2_1|{0: {'definition': 'extremely small', 'examples': ['minute amounts of chemicals in the water', 'The kitchen on the boat is minute.'], 'extra_examples': ['Even minute amounts of bacteria in the water supply can cause disease.', 'There were minute traces of the drug present in his blood.'], 'synonyms': ['tiny'], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'very detailed, careful and complete', 'examples': ['a minute examination/inspection', 'She remembered everything in minute detail/in the minutest detail(s).'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}|/maɪˈnuːt/|/maɪˈnjuːt/|adjective|c1
plus1_1|{0: {'definition': 'used when the two numbers or amounts mentioned are being added together', 'examples': ['Two plus five is seven.', 'The cost is £22, plus £1 for postage.', 'Membership is 350 dollars per year plus tax.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'as well as something/somebody; and also', 'examples': ['We have to fit five of us plus all our gear in the car.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}|/plʌs/|/plʌs/|preposition|b1
plus1_2|"{0: {'definition': 'used after a number to show that the real number or amount is more than the one mentioned', 'examples': ['The work will cost £10\u2009000 plus.', 'Sales are growing by 20 per cent plus per year.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'above zero', 'examples': ['The temperature is plus four degrees.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 2: {'definition': 'used to describe an aspect of something that you consider to be a good thing', 'examples': [""One of the hotel's plus points is that it is very central."", 'On the plus side, all the staff are enthusiastic.', 'The plus side of working at home is that you can be more flexible.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[only before noun]', 'use': [], 'dis_g': []}, 3: {'definition': 'slightly higher than the grade A, B, etc.', 'examples': ['I got B plus (B+) in the test.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[not before noun]', 'use': '(used in a system of grades)', 'dis_g': []}}"|/plʌs/|/plʌs/|adjective|b2
plus1_3|{0: {'definition': 'an advantage; a good thing', 'examples': ['Knowledge of French is a plus in her job.', 'There were a lot of pluses in the performance.', ' plus for somebody/something Ease of use is a big plus for any game.'], 'extra_examples': ['One of the pluses of the job is having such supportive colleagues.', 'You should carefully consider the pluses and minuses of going to live in the country.'], 'synonyms': [], 'labels': '(informal)', 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'the symbol (\u2009+\u2009), used in mathematics', 'examples': ['He put a plus instead of a minus.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}|/plʌs/|/plʌs/|noun|b2
plus1_4|"{0: {'definition': 'used to add more information', 'examples': [""I've got too much on at work. Plus my father is not well.""], 'extra_examples': [], 'synonyms': ['furthermore'], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}"|/plʌs/|/plʌs/|conjunction|b2
